Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,119.2,-51.72,180.0,top
BT1,101.479071,-88.488608,180.0,top
C1,92.041484,-61.323093,270.0,top
C10,96.879082,-77.487123,90.0,top
C11,82.5,-84.099904,270.0,top
C12,78.5,-84.099904,270.0,top
C13,80.5,-84.099904,270.0,top
C2,93.0,-61.324301,270.0,top
C3,93.667273,-49.712554,270.0,top
C4,92.399168,-50.259004,90.0,top
C5,83.96846,-89.016488,90.0,top
C6,85.460151,-89.016538,90.0,top
C7,90.536474,-78.390265,180.0,top
C8,76.995044,-86.497559,270.0,top
C9,77.0,-88.454688,90.0,top
D1,143.0,-55.0,0.0,top
D2,78.333168,-76.871381,180.0,top
D3,84.091588,-76.858695,180.0,top
D5,81.0,-80.0,180.0,top
F1,100.395358,-83.989031,270.0,top
J1,85.0,-55.654516,90.0,top
J2,117.0,-91.25,90.0,top
J3,138.02412,-71.455769,270.0,top
J4,135.0,-52.0,0.0,top
J5,135.322032,-91.27653,180.0,top
J6,79.0,-70.0,270.0,top
J7,135.73,-59.0,270.0,top
L1,80.502787,-92.5,0.0,top
Q1,91.0625,-82.0,180.0,top
R1,115.185604,-50.0,180.0,top
R10,93.556742,-66.505236,0.0,top
R11,140.01,-54.928437,0.0,top
R12,115.0,-67.5,180.0,top
R13,75.895901,-76.874396,180.0,top
R14,81.650152,-76.866545,180.0,top
R15,86.0,-74.0,0.0,top
R16,75.979202,-88.469381,270.0,top
R17,88.181283,-74.51,90.0,top
R18,75.974247,-86.478137,270.0,top
R19,84.31943,-86.85,0.0,top
R2,76.5,-63.49,90.0,top
R21,85.560384,-71.770535,0.0,top
R22,85.561991,-68.020123,0.0,top
R23,99.737925,-70.0,270.0,top
R24,75.641338,-80.8034,270.0,top
R3,80.5,-63.49,270.0,top
R4,77.5,-63.49,90.0,top
R5,79.5,-63.49,270.0,top
R6,75.5,-63.49,90.0,top
R7,78.5,-63.49,270.0,top
R8,98.583935,-69.997252,270.0,top
R9,93.549309,-65.226762,0.0,top
RESET1,125.0,-51.72,180.0,top
SW1,93.41671,-92.148353,0.0,top
TP1,88.5,-86.0,0.0,top
TP2,85.5,-93.5,0.0,top
TP3,89.5,-64.5,0.0,top
U1,104.25,-55.26,0.0,top
U2,80.525,-87.867968,180.0,top
U3,92.5,-75.0,270.0,top
USER_INPUT1,140.5,-83.65,90.0,top
